date,side,maturity,participants,complete,volume,interest
2016-08-15,Mua kỳ hạn,7,0,,,
2016-08-15,Bán hẳn,14,6,2,3000,0.012
2016-08-15,Bán hẳn Tổng cộng,,,,3000,0.012
2016-08-15,Bán hẳn,14,6,2,3000,0.012
2016-08-15,Bán hẳn Tổng cộng,,,,3000,0.012
2016-08-15,Mua kỳ hạn,7,0,,,
2016-08-16,Bán hẳn Tổng cộng,,,,8000,0.011
2016-08-16,Bán hẳn,14,4,2,8000,0.011
2016-08-16,Mua kỳ hạn,7,0,,,
2016-08-18,Bán hẳn Tổng cộng,,,,8000,0.01
2016-08-18,Bán hẳn,14,8,5,8000,0.01
2016-08-18,Mua kỳ hạn,7,0,,,
2016-08-19,Bán hẳn Tổng cộng,,,,8000,0.01
2016-08-19,Bán hẳn,14,6,5,8000,0.01
2016-08-19,Mua kỳ hạn,7,0,,,
2016-08-22,Mua kỳ hạn,7,0,,,
2016-08-22,Bán hẳn Tổng cộng,,,,8000,0.007
2016-08-22,Bán hẳn,14,6,2,8000,0.007
2016-08-23,Bán hẳn,14,3,1,10000,0.0059
2016-08-23,Bán hẳn Tổng cộng,,,,10000,0.0059
2016-08-23,Mua kỳ hạn,7,0,,,
2016-08-25,Mua kỳ hạn,7,0,,,
2016-08-25,Bán hẳn Tổng cộng,,,,12000,0.006
2016-08-25,Bán hẳn,14,6,6,12000,0.006
2016-08-26,Mua kỳ hạn,7,0,,,
2016-08-26,Bán hẳn Tổng cộng,,,,15000,0.006
2016-08-26,Bán hẳn,14,6,5,15000,0.006
2016-09-05,Mua kỳ hạn Tổng cộng,,,,5000,0.006
2016-09-05,Mua kỳ hạn,14,2,2,5000,0.006
2016-09-08,Bán hẳn Tổng cộng,,,,15000,0.005
2016-09-08,Bán hẳn,14,4,4,15000,0.005
2016-09-08,Mua kỳ hạn,7,0,,,
2016-09-09,Mua kỳ hạn,7,0,,,
2016-09-09,Bán hẳn Tổng cộng,,,,12000,0.005
2016-09-09,Bán hẳn,14,5,5,12000,0.005
2016-09-13,Bán hẳn,14,4,1,12000,0.004
2016-09-13,Mua kỳ hạn,7,0,,,
2016-09-13,Bán hẳn Tổng cộng,,,,12000,0.004
2016-09-15,Bán hẳn Tổng cộng,,,,10000,0.005
2016-09-15,Bán hẳn,14,6,6,10000,0.005
2016-09-15,Mua kỳ hạn,7,0,,,
2016-09-19,Mua kỳ hạn,7,0,,,
2016-09-19,Bán hẳn Tổng cộng,,,,7000,0.004
2016-09-19,Bán hẳn,14,7,4,7000,0.004
2016-09-20,Mua kỳ hạn,7,0,,,
2016-09-20,Bán hẳn Tổng cộng,,,,10000,0.0038
2016-09-20,Bán hẳn,14,5,3,10000,0.0038
2016-09-21,Bán hẳn Tổng cộng,,,,12000,0.0035
2016-09-21,Bán hẳn,14,4,4,12000,0.0035
2016-09-21,Mua kỳ hạn,7,0,,,
2016-09-22,Bán hẳn Tổng cộng,,,,15000,0.006
2016-09-22,Bán hẳn,14,4,4,15000,0.006
2016-09-22,Mua kỳ hạn,7,0,,,
2016-09-23,Bán hẳn Tổng cộng,,,,12000,0.0058
2016-09-23,Bán hẳn,14,9,7,12000,0.0058
2016-09-23,Mua kỳ hạn,7,0,,,
2016-09-26,Mua kỳ hạn,7,0,,,
2016-09-26,Bán hẳn,14,8,5,5000,0.005
2016-09-26,Bán hẳn Tổng cộng,,,,5000,0.005
2016-09-27,Bán hẳn Tổng cộng,,,,12000,0.0049
2016-09-27,Bán hẳn,14,9,6,12000,0.0049
2016-09-27,Mua kỳ hạn,7,0,,,
2016-09-28,Bán hẳn Tổng cộng,,,,10000,0.005
2016-09-28,Bán hẳn,14,4,4,10000,0.005
2016-09-28,Mua kỳ hạn,7,0,,,
2016-09-29,Bán hẳn Tổng cộng,,,,10000,0.008
2016-09-29,Bán hẳn,14,7,7,10000,0.008
2016-09-29,Mua kỳ hạn,7,0,,,
2016-09-30,Mua kỳ hạn,7,0,,,
2016-09-30,Bán hẳn Tổng cộng,,,,4000,0.012
2016-09-30,Bán hẳn,14,5,5,4000,0.012
2016-10-04,Bán hẳn Tổng cộng,,,,8000,0.009
2016-10-04,Bán hẳn,14,11,3,8000,0.009
2016-10-04,Mua kỳ hạn,7,0,,,
2016-11-07,Mua kỳ hạn Tổng cộng,,,,0,0
2016-11-07,Mua kỳ hạn,7,0,0,0,0
2016-11-07,Mua kỳ hạn,7,0,0,0,0
2016-11-07,Mua kỳ hạn Tổng cộng,,,,0,0
2016-11-08,Mua kỳ hạn Tổng cộng,,,,500,0.006
2016-11-08,Mua kỳ hạn,14,1,1,500,0.006
2016-11-09,Bán hẳn Tổng cộng,,,,9100,0.01
2016-11-09,Bán hẳn,14,3,3,9100,0.01
2016-11-09,Mua kỳ hạn,7,0,,,
2016-11-10,Bán hẳn,14,3,3,5110,0.01
2016-11-10,Mua kỳ hạn,7,0,,,
2016-11-10,Bán hẳn Tổng cộng,,,,5110,0.01
2016-11-11,Bán hẳn,14,6,4,7550,0.01
2016-11-11,Mua kỳ hạn,7,0,,,
2016-11-11,Bán hẳn Tổng cộng,,,,7550,0.01
2016-11-14,Bán hẳn Tổng cộng,,,,230,0.022
2016-11-14,Bán hẳn,28,2,1,80,0.015
2016-11-14,Bán hẳn,14,2,1,150,0.007
2016-11-14,Mua kỳ hạn,7,0,,,
2016-11-15,Bán hẳn,14,3,0,0,0
2016-11-15,Mua kỳ hạn,7,0,,,
2016-11-15,Bán hẳn Tổng cộng,,,,200,0.015
2016-11-15,Bán hẳn,28,3,1,200,0.015
2016-11-16,Bán hẳn Tổng cộng,,,,130,0.015
2016-11-16,Bán hẳn,28,1,1,130,0.015
2016-11-16,Bán hẳn,14,1,0,0,0
2016-11-16,Mua kỳ hạn,7,0,,,
2016-11-17,Bán hẳn Tổng cộng,,,,5000,0.015
2016-11-17,Bán hẳn,28,1,1,5000,0.015
2016-11-17,Bán hẳn,14,1,0,0,0
2016-11-17,Mua kỳ hạn,7,0,,,
2016-11-18,Bán hẳn Tổng cộng,,,,8500,0.03
2016-11-18,Bán hẳn,28,2,2,7500,0.02
2016-11-18,Bán hẳn,14,1,1,1000,0.01
2016-11-18,Mua kỳ hạn,7,0,,,
2016-11-21,Mua kỳ hạn,7,0,,,
2016-11-21,Bán hẳn Tổng cộng,,,,14750,0.035
2016-11-21,Bán hẳn,28,4,4,12550,0.02
2016-11-21,Bán hẳn,14,3,3,2200,0.015
2016-11-22,Bán hẳn Tổng cộng,,,,13000,0.035
2016-11-22,Bán hẳn,28,4,4,10000,0.02
2016-11-22,Bán hẳn,14,4,4,3000,0.015
2016-11-22,Mua kỳ hạn,7,0,,,
2016-11-23,Bán hẳn Tổng cộng,,,,17000,0.035
2016-11-23,Bán hẳn,28,4,4,12000,0.02
2016-11-23,Bán hẳn,14,5,5,5000,0.015
2016-11-23,Mua kỳ hạn,7,0,,,
2016-11-24,Mua kỳ hạn,7,0,,,
2016-11-24,Bán hẳn,14,2,2,5000,0.016
2016-11-24,Bán hẳn Tổng cộng,,,,15150,0.041
2016-11-24,Bán hẳn,28,3,3,10150,0.025
2016-11-25,Bán hẳn,28,3,1,1000,0.025
2016-11-25,Mua kỳ hạn,7,0,,,
2016-11-25,Bán hẳn Tổng cộng,,,,1100,0.04
2016-11-25,Bán hẳn,14,3,1,100,0.015
2016-11-28,Mua kỳ hạn,7,0,,,
2016-11-28,Bán hẳn,28,1,0,,
2016-11-28,Bán hẳn,14,2,0,,
2016-11-29,Bán hẳn,28,1,0,,
2016-11-29,Bán hẳn,14,0,0,,
2016-11-29,Mua kỳ hạn,7,0,,,
2016-11-30,Bán hẳn Tổng cộng,,,,100,0.015
2016-11-30,Bán hẳn,14,2,1,100,0.015
2016-11-30,Mua kỳ hạn,7,0,,,
2016-12-07,Mua kỳ hạn,7,0,,,
2016-12-07,Mua kỳ hạn Tổng cộng,,,,0,0
2016-12-07,Mua kỳ hạn,14,0,0,0,0
2016-12-08,Mua kỳ hạn,14,0,0,0,0
2016-12-08,Mua kỳ hạn Tổng cộng,,,,0,0
2016-12-09,Mua kỳ hạn Tổng cộng,,,,4489.9,0.1
2016-12-09,Mua kỳ hạn,14,3,3,1999.9,0.05
2016-12-09,Mua kỳ hạn,7,4,4,2490,0.05
2016-12-12,Mua kỳ hạn Tổng cộng,,,,11510.9,0.1
2016-12-12,Mua kỳ hạn,14,11,11,8999.9,0.05
2016-12-12,Mua kỳ hạn,7,5,5,2511,0.05
2016-12-13,Mua kỳ hạn,14,8,8,4257,0.05
2016-12-13,Mua kỳ hạn,7,6,6,5858,0.05
2016-12-13,Mua kỳ hạn Tổng cộng,,,,10115,0.1
2016-12-13,Mua kỳ hạn,14,8,8,4257,0.05
2016-12-13,Mua kỳ hạn Tổng cộng,,,,10115,0.1
2016-12-13,Mua kỳ hạn,7,6,6,5858,0.05
2016-12-14,Mua kỳ hạn Tổng cộng,,,,5451,0.1
2016-12-14,Mua kỳ hạn,14,4,4,1586,0.05
2016-12-14,Mua kỳ hạn,7,5,5,3865,0.05
2016-12-15,Mua kỳ hạn Tổng cộng,,,,6046,0.1
2016-12-15,Mua kỳ hạn,14,5,5,3670,0.05
2016-12-15,Mua kỳ hạn,7,5,5,2376,0.05
2016-12-16,Mua kỳ hạn Tổng cộng,,,,1955,0.1
2016-12-16,Mua kỳ hạn,14,1,1,722,0.05
2016-12-16,Mua kỳ hạn,7,3,3,1233,0.05
2016-12-19,Mua kỳ hạn,7,1,1,303,0.05
2016-12-19,Mua kỳ hạn Tổng cộng,,,,1297,0.1
2016-12-19,Mua kỳ hạn,21,4,4,994,0.05
2016-12-20,Mua kỳ hạn Tổng cộng,,,,884.9,0.05
2016-12-20,Mua kỳ hạn,7,3,3,884.9,0.05
2016-12-21,Mua kỳ hạn Tổng cộng,,,,101,0.05
2016-12-21,Mua kỳ hạn,7,1,1,101,0.05
2016-12-22,Mua kỳ hạn Tổng cộng,,,,5000,0.0175
2016-12-22,Mua kỳ hạn,14,2,1,5000,0.0175
2016-12-26,Mua kỳ hạn Tổng cộng,,,,1391,0.05
2016-12-26,Mua kỳ hạn,7,2,2,1391,0.05
2016-12-28,Mua kỳ hạn,7,3,3,1101,0.05
2016-12-28,Mua kỳ hạn Tổng cộng,,,,1101,0.05
2016-12-29,Mua kỳ hạn Tổng cộng,,,,4725,0.05
2016-12-29,Mua kỳ hạn,7,6,6,4725,0.05
2016-12-30,Mua kỳ hạn Tổng cộng,,,,16141,0.05
2016-12-30,Mua kỳ hạn,7,14,14,16141,0.05
2017-01-03,Mua kỳ hạn Tổng cộng,,,,2493,0.05
2017-01-03,Mua kỳ hạn,7,4,4,2493,0.05
2017-01-04,Mua kỳ hạn Tổng cộng,,,,1116,0.05
2017-01-04,Mua kỳ hạn,7,4,4,1116,0.05
2017-01-05,Mua kỳ hạn Tổng cộng,,,,2999.9,0.05
2017-01-05,Mua kỳ hạn,7,5,5,2999.9,0.05
2017-01-06,Mua kỳ hạn Tổng cộng,,,,14738.9,0.05
2017-01-06,Mua kỳ hạn,7,14,14,14738.9,0.05
2017-01-09,Mua kỳ hạn,28,12,12,8727,0.05
2017-01-09,Mua kỳ hạn Tổng cộng,,,,8727,0.05
2017-01-10,Mua kỳ hạn,28,17,17,11110.8,0.05
2017-01-10,Mua kỳ hạn Tổng cộng,,,,11110.8,0.05
2017-01-11,Mua kỳ hạn Tổng cộng,,,,6967.5,0.05
2017-01-11,Mua kỳ hạn,28,15,15,6967.5,0.05
2017-01-12,Mua kỳ hạn Tổng cộng,,,,9184.7,0.05
2017-01-12,Mua kỳ hạn,28,12,12,9184.7,0.05
2017-01-12,Mua kỳ hạn Tổng cộng,,,,9184.7,0.05
2017-01-12,Mua kỳ hạn,28,12,12,9184.7,0.05
2017-01-13,Mua kỳ hạn Tổng cộng,,,,21147.7,0.05
2017-01-13,Mua kỳ hạn,28,18,18,21147.7,0.05
2017-01-16,Mua kỳ hạn,7,7,7,5663.3,0.05
2017-01-16,Mua kỳ hạn Tổng cộng,,,,19663.2,0.1
2017-01-16,Mua kỳ hạn,28,18,18,13999.9,0.05
2017-01-18,Mua kỳ hạn,28,15,15,19473,0.05
2017-01-18,Mua kỳ hạn,7,3,3,6604,0.05
2017-01-18,Mua kỳ hạn Tổng cộng,,,,26077,0.1
2017-01-19,Mua kỳ hạn Tổng cộng,,,,15694,0.1
2017-01-19,Mua kỳ hạn,28,9,9,6360,0.05
2017-01-19,Mua kỳ hạn,21,9,9,9334,0.05
2017-01-20,Mua kỳ hạn Tổng cộng,,,,32827.2,0.1
2017-01-20,Mua kỳ hạn,28,14,14,16722.7,0.05
2017-01-20,Mua kỳ hạn,14,11,11,16104.5,0.05
2017-01-23,Mua kỳ hạn,14,16,16,22091,0.05
2017-01-23,Mua kỳ hạn Tổng cộng,,,,39148,0.1
2017-01-23,Mua kỳ hạn,28,13,13,17057,0.05
2017-02-06,Mua kỳ hạn,7,1,1,806,0.05
2017-02-06,Mua kỳ hạn Tổng cộng,,,,806,0.05
2017-02-13,Mua kỳ hạn Tổng cộng,,,,1039,0.05
2017-02-13,Mua kỳ hạn,7,2,2,1039,0.05
2017-02-14,Mua kỳ hạn Tổng cộng,,,,1000,0.05
2017-02-14,Mua kỳ hạn,7,3,3,1000,0.05
2017-02-15,Mua kỳ hạn Tổng cộng,,,,2000,0.05
2017-02-15,Mua kỳ hạn,7,4,4,2000,0.05
2017-02-16,Mua kỳ hạn Tổng cộng,,,,3000,0.05
2017-02-16,Mua kỳ hạn,7,5,5,3000,0.05
2017-02-17,Mua kỳ hạn,7,12,12,10913.5,0.05
2017-02-17,Mua kỳ hạn Tổng cộng,,,,10913.5,0.05
2017-02-20,Mua kỳ hạn,7,14,14,11000,0.05
2017-02-20,Mua kỳ hạn Tổng cộng,,,,11000,0.05
2017-02-21,Mua kỳ hạn Tổng cộng,,,,1000,0.05
2017-02-21,Mua kỳ hạn,7,3,3,1000,0.05
2017-02-28,Mua kỳ hạn Tổng cộng,,,,1426,0.05
2017-02-28,Mua kỳ hạn,7,2,2,1426,0.05
2017-03-01,Mua kỳ hạn Tổng cộng,,,,601,0.05
2017-03-01,Mua kỳ hạn,7,1,1,601,0.05
2017-03-06,Mua kỳ hạn Tổng cộng,,,,1000,0.05
2017-03-06,Mua kỳ hạn,7,3,3,1000,0.05
2017-03-07,Mua kỳ hạn Tổng cộng,,,,1957,0.05
2017-03-07,Mua kỳ hạn,7,4,4,1957,0.05
2017-03-08,Mua kỳ hạn Tổng cộng,,,,1135,0.05
2017-03-08,Mua kỳ hạn,7,2,2,1135,0.05
2017-03-17,Mua kỳ hạn Tổng cộng,,,,999.9,0.05
2017-03-17,Mua kỳ hạn,7,7,7,999.9,0.05
2017-03-20,Mua kỳ hạn,7,17,17,11999.9,0.05
2017-03-20,Mua kỳ hạn Tổng cộng,,,,11999.9,0.05
2017-03-21,Mua kỳ hạn Tổng cộng,,,,10999.9,0.05
2017-03-21,Mua kỳ hạn,7,15,15,10999.9,0.05
2017-03-22,Mua kỳ hạn Tổng cộng,,,,1479.6,0.05
